Item,Unit Price,Cost Price,Qty,Total,Profit,Billed To,Mobile,timestamp,Grand Total,Discount %
Apple,30.0,0.0,1,30.0,30.0,Rahul,1234567,2025-08-30 13:05:26.731720,27.0,10.0
Apple,30.0,0.0,3,90.0,90.0,Rahul,8813817117,2025-08-30 13:23:14.596847,76.5,15.0
Apple,30.0,0.0,8,240.0,240.0,Rahul,8813817117,2025-08-30 13:30:16.037742,240.0,0.0
cock sky shot,100.0,200.0,1,100.0,-100.0,Rahul,8813817117,2025-08-30 17:03:29.288189,100.0,0.0
cock sky shot,200.0,100.0,1,200.0,100.0,Rahul,23456789,2025-08-30 17:57:46.334330,200.0,0.0
Ground Chakkar 45 cm,320.0,0.0,10,3200.0,3200.0,sqwe,1234567,2025-08-31 13:45:44.545204,3040.0,5.0
jasmine 5 pc matka,440.0,220.0,12,5280.0,2640.0,Customer,23,2025-08-31 14:09:39.048740,5280.0,0.0
jasmine 5 pc matka,440.0,220.0,12,5280.0,2640.0,Customer,23,2025-08-31 14:12:17.327967,5280.0,0.0
2 in 1 gudiya flower,600.0,300.0,1,600.0,300.0,Customer,456,2025-09-07 17:53:53.721228,600.0,
Azad classic green,220.0,110.0,1,220.0,110.0,Customerhbgt,er5678,2025-09-07 21:15:03.480529,198.0,10.0
Mercury 2 in1 danada big bazooka,1020.0,510.0,1,1020.0,510.0,Customer567,345678,2025-09-07 21:17:46.829561,1020.0,
liberty penta,280.0,140.0,1,280.0,140.0,Customer,4567,2025-09-08 19:00:40.226661,280.0,
Mega jil jil,200.0,140.0,1,200.0,60.0,qwerty,234567890,2025-09-08 21:18:27.161982,180.0,10.0
